BUSINESS UNIT,BUSINESS UNIT NAME,UNIT NUMBER,LEASE NUMBER, TENANT NAME , WORKFLOW DESCRIPTION ,NO OF DAYS
136,Woodcroft Shopping Center,0022,13606,UPTOWN LOOKS, NNN Abstraction Review ,31
60078,Nocatee Town Center,0403,6007814,REMAX UNLIMITED, NNN Abstraction Review ,31
60078,Nocatee Town Center,0036,6007823,JERSEY MIKE'S SUBS, NNN Abstraction Review ,31
60078,Nocatee Town Center,0028,6007825,ARTSY ABODE, NNN Abstraction Review ,1
60078,Nocatee Town Center,0030,6007826,GNC, NNN Abstraction Review ,7
60078,Nocatee Town Center,0018,6007827,TIMOTI'S SEAFOOD SHAK, NNN Abstraction Review ,7
60770,Northgate Marketplace Ph II,L01,6077004,CONNECT WIRELESS, NNN Abstraction Review ,1
60770,Northgate Marketplace Ph II,G02,6077007,MASSAGE ENVY SPA, NNN Abstraction Review ,1
60078,Nocatee Town Center,0022,60078001,WOOF GANG BAKERY & GROOMING, NNN Abstraction Review ,1
90098,Eastgate Plaza,10,9009810,SAFEWAY, NNN Abstraction TAS Review ,1
